DATE,PCECC96,GCEC1,GPDIC1,EXPGSC1_IMPGSC1
1949-10-01,1380.702,610.962,199.54,-3.726
1950-01-01,1403.69,599.626,246.911,-6.546
1950-04-01,1426.807,610.577,273.335,-9.499
1950-07-01,1500.076,600.72,296.831,-24.382
1950-10-01,1454.855,643.161,334.548,-19.486
1951-01-01,1490.034,711.604,300.363,-16.119
1951-04-01,1447.928,806.453,307.326,-6.263
1951-07-01,1464.796,895.1,284.697,2.770
1951-10-01,1473.33,942.439,262.013,4.035
1952-01-01,1476.743,970.486,268.85,-0.458
1952-04-01,1505.663,1003.558,248.58,-9.171
1952-07-01,1512.885,1013.71,261.906,-20.111
1952-10-01,1566.256,1030.617,280.772,-27.562
1953-01-01,1584.651,1063.267,286.813,-26.352
1953-04-01,1594.191,1085.069,288.445,-30.799
1953-07-01,1590.393,1073.55,282.411,-27.700
1953-10-01,1579.729,1070.876,262.005,-25.190
1954-01-01,1585.556,1043.038,260.127,-22.854
1954-04-01,1606.146,1007.718,259.513,-21.403
1954-07-01,1627.882,985.925,272.037,-18.008
1954-10-01,1662.047,979.99,283.968,-15.538
1955-01-01,1699.34,980.565,312.337,-18.113
1955-04-01,1731.894,970.944,331.333,-25.411
1955-07-01,1753.286,977.156,336.418,-22.104
1955-10-01,1775.302,957.768,344.218,-25.492
1956-01-01,1778.186,957.52,334.39,-26.113
1956-04-01,1784.101,976.854,331.759,-19.748
1956-07-01,1788.135,968.27,328.788,-17.666
1956-10-01,1812.786,992.905,325.739,-8.270
1957-01-01,1825.394,1014.192,320.682,-10.349
1957-04-01,1828.576,1008.948,320.357,-14.374
1957-07-01,1843.026,1017.538,327.701,-14.983
1957-10-01,1843.793,1034.278,302.503,-18.339
1958-01-01,1818.286,1025.345,282.096,-29.602
1958-04-01,1833.319,1050.923,276.413,-34.172
1958-07-01,1863.736,1056.956,297.627,-32.073
1958-10-01,1889.052,1078.266,323.004,-38.643
1959-01-01,1923.675,1067.299,340.604,-35.575
1959-04-01,1953.384,1080.519,367.099,-42.564
1959-07-01,1973.791,1089.758,343.391,-34.887
1959-10-01,1976.014,1080.847,354.567,-36.447
1960-01-01,1994.918,1062.413,390.21,-29.031
1960-04-01,2020.082,1074.342,353.841,-26.936
1960-07-01,2012.008,1100.615,352.942,-20.392
1960-10-01,2014.614,1108.247,313.843,-13.408
1961-01-01,2013.865,1124.703,321.988,-13.575
1961-04-01,2043.835,1127.518,344.549,-20.468
1961-07-01,2053.774,1151.6,371.335,-24.120
1961-10-01,2095.084,1176.849,377.479,-25.547
1962-01-01,2117.277,1199.559,397.831,-30.538
1962-04-01,2143.306,1205.618,394.694,-27.094
1962-07-01,2160.58,1233.449,401.401,-29.198
1962-10-01,2191.15,1241.969,389.657,-34.980
1963-01-01,2206.499,1225.121,410.158,-29.656
1963-04-01,2227.32,1226.02,416.683,-23.609
1963-07-01,2257.536,1280.417,429.512,-28.134
1963-10-01,2276.347,1267.165,434.727,-22.598
1964-01-01,2321.024,1271.118,450.997,-15.699
1964-04-01,2362.081,1282.534,449.373,-19.782
1964-07-01,2405.713,1284.051,459.861,-19.689
1964-10-01,2412.58,1283.508,464.229,-21.216
1965-01-01,2466.382,1282.031,508.491,-32.269
1965-04-01,2493.584,1297.197,509.827,-29.662
1965-07-01,2536.43,1340.237,527.578,-33.775
1965-10-01,2607.736,1365.628,531.072,-33.596
1966-01-01,2646.233,1391.078,573.502,-42.392
1966-04-01,2653.014,1417.36,565.012,-42.652
1966-07-01,2683.309,1455.988,560.844,-55.796
1966-10-01,2694.488,1481.126,564.131,-54.301
1967-01-01,2710.014,1543.706,550.286,-55.682
1967-04-01,2747.064,1537.3,530.378,-56.105
1967-07-01,2761.129,1554.384,545.93,-60.224
1967-10-01,2778.026,1566.194,557.706,-68.771
1968-01-01,2844.601,1594.198,568.887,-77.804
1968-04-01,2887.917,1602.467,590.647,-78.745
1968-07-01,2942.042,1607.267,574.539,-81.618
1968-10-01,2955.313,1608.726,580.789,-83.426
1969-01-01,2988.082,1612.372,614.989,-79.434
1969-04-01,3007.358,1607.344,611.366,-91.689
1969-07-01,3022.02,1610.604,623.778,-91.221
1969-10-01,3046.173,1588.938,593.659,-83.260
1970-01-01,3065.074,1581.297,575.953,-79.821
1970-04-01,3078.959,1562.913,577.205,-77.700
1970-07-01,3105.952,1569.519,586.598,-76.247
1970-10-01,3097.52,1570.25,555.454,-80.159
1971-01-01,3156.978,1547.285,620.212,-74.956
1971-04-01,3185.993,1543.73,637.811,-97.626
1971-07-01,3211.394,1542.925,645.549,-94.099
1971-10-01,3264.679,1532.081,628.165,-92.974
1972-01-01,3307.767,1540.54,669.558,-112.875
1972-04-01,3370.736,1546.74,707.589,-107.489
